HANDLE,BLOCKNAME,EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP,PRE-DESIGNATION,PRE-DESIGNATION-LOCATION,NEXT-DESIGNATION,NEXT-DESIGNATION-LOCATION,DWG,DATE,NO._OF_CCT'S,PREVIOUS_ID,EQUIP-DESIG.,EQUIP-LOC,FUSE_INPACITY,FUSE_INPACITY1,MOTOR-HP,EQUIP-ID,EQUIP-LOCATION1,EQUIP-PROPERTIES1
'1FDF0A,*U126,STDIS01,         ST133,400AR/400AT  120/208V   3PH 3W,STTR01,         ST133,STSDP02,         ST133,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FD229,*U108,STTR01,    ST133,150KVA  600>120/208V  3PH  4W,STMB17,    ST133,STDIS01,    ST133,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FCFA9,*U123,STDIS04,  ON ROOF,80AR/80AT  600V  3PH  4W,STMB16,    ST133,STSF04,  ON ROOF,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FCC92,*U107,STPPE,    ST133,225AR/80AT  600V  3PH  4W,STMB15,    ST133,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FCA10,*U123,STDIS03,  ON ROOF,40AR/40AT  600V  3PH  4W,STMB14,    ST133,STSF03,  ON ROOF,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FC790,*U123,STDIS02,  ON ROOF,80AR/80AT  600V  3PH  4W,STMB13,    ST133,STSF02,  ON ROOF,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FC511,*U123,STDIS01,  ON ROOF,60AR/60AT  600V  3PH  4W,STMB12,    ST133,STSF01,  ON ROOF,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FBF7B,*U123,STAIRCOMP01,    ST133,20AR/20AT  600V  3PH  4W,STMB11,    ST133,,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'1FBC9A,*U132,STMB20,         ST133,600AR/600AT    600V     3PH 3W,STSDP01,         ST133,STSDP03,         ST186,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBC5D,*U131,STMB19,         ST133,600AR/600AT    600V     3PH 3W,STSDP01,         ST133,STSDPA1/A2,         ST135,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBC20,*U126,STMB17,         ST133,200AR/200AT    600V     3PH 3W,STSDP01,         ST133,STTR01,         ST133,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBBE3,*U126,STMB16,         ST133,50AR/50AT    600V     3PH 3W,STSDP01,         ST133,STDIS04,       ON ROOF,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBBA6,*U126,STMB15,         ST133,80AR/80AT    600V     3PH 3W,STSDP01,         ST133,STPPE,       ST133,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBB69,*U126,STMB14,         ST133,40AR/40AT    600V     3PH 3W,STSDP01,         ST133,STDIS03,       ON ROOF,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBB2C,*U126,STMB13,         ST133,80AR/80AT    600V     3PH 3W,STSDP01,         ST133,STDIS02,       ON ROOF,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBAEF,*U126,STMB12,         ST133,60AR/60AT    600V     3PH 3W,STSDP01,         ST133,STDIS01,       ON ROOF,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBAB2,*U126,STMB11,         ST133,20AR/20AT    600V     3PH 3W,STSDP01,         ST133,STAIRCOMP01,         ST133,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBA75,*U126,STMB09,         ST133,100AR/100AT    600V     3PH 3W,STSDP01,         ST133,SPARE,       ,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FBA38,*U126,STMB08,         ST133,100AR/100AT    600V     3PH 3W,STSDP01,         ST133,SPARE,       ,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1F9931,*U126,STMB07,         ST133,100AR/100AT    600V     3PH 3W,STSDP01,         ST133,SPARE,       ,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1F95CD,*U127,DLP01,D1022,200AR/100AT 600V/3PH/4W,DMB42,D1022,MULTI FEEDS SEE LEGEND,,DWG. D ELEC SLD,03/28/2011,# CCT:N/A,PREV. ID: (1D0),,,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1F9212,*U126,STMB01,                ST133,1200AR/1200AT   600V    3PH 3W,STSS01,,STSDP01,                ST133,DWG. ST. THOMAS ELEC SLD,             02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1F8ED9,*U136,STSS01,             OUTSIDE,225kVA   27600>600V  3PH  3W,ST THOMAS HYDRO,,STMB01,             ST133,DWG. ST. THOMAS ELEC SLD,             02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
