HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'2BC7	_U84	APP39	A2002	450AR/350AT 120/208V/3PH/4W	AMDP01-CELL04-AMB48	    A1005	MULTIFEEDS SEE LEGEND		DWG. A ELEC SLD	02/18/2011	# CCT:N/A	PREV. ID: (CNE4)	BSDP04	B2042	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2BB2	_U59	BTR06	B2042	150kVA 600V>120/208V 3P/4W	BSDP03-BMB57	B2042	BSDP12	B2042	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2B97	_U71	APP39	A2002	450AR/350AT 120/208V/3PH/4W	AMDP01-CELL04-AMB48	    A1005	MULTIFEEDS SEE LEGEND		DWG. A ELEC SLD	02/18/2011	# CCT:N/A	PREV. ID: (CNE4)	BMCC03	B2042	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2B82	_U107	BMB53	B2042	300AR/AT 347/600V/3PH/3W	BSDP03	B2042	BTR07	B2042	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2B6D	_U97	BMB52	B2042	600AR/AT 347/600V/3PH/3W	BSDP03	B2042	BMCC03	B2042	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2B58	_U98	APP39	A2002	450AR/350AT 120/208V/3PH/4W	AMDP01-CELL04-AMB48	    A1005	MULTIFEEDS SEE LEGEND		DWG. A ELEC SLD	02/18/2011	# CCT:N/A	PREV. ID: (CNE4)	BSDP03	B2042	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2B43	_U117	BMB42	B1041-4	600AR/AT 347/600V/3PH/4W	BSDP02	B1041-4	BMB51/BSDP03	B2042	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2B19	_U97	BMB28	B1041-4	600AR/AT 347/600V/3PH/3W	BSDP02	B1041-4	BSDP09	B1041-4	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2AFD	_U97	BPP201-BKR32/34/36	   B1013-4	200AR/AT 347/600V/3PH/4W	BPP201	B1013-4	BPP-07	B1013-4	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2AE8	_U97	BPP201-BKR38/40/42	   B1013-4	200AR/AT 347/600V/3PH/4W	BPP201	B1013-4	BPP-08	B1013-4	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2AD3	_U103	APP39	A2002	450AR/350AT 120/208V/3PH/4W	AMDP01-CELL04-AMB48	    A1005	MULTIFEEDS SEE LEGEND		DWG. A ELEC SLD	02/18/2011	# CCT:N/A	PREV. ID: (CNE4)	BPP201	B1013-4	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2ABE	_U60	BPP45	B1013	225AR/100AT 120/208V/3PH/4W	BPP44-BKR38/40/42	    B1013	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2AA9	_U60	BPP44	B1013	225AR 120/208V/3PH/4W	BTR15	B1013-MEZZ	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A94	_U59	BTR15	B1013-MEZZ	75kVA 600V>120/208V 3P/4W	BPP46	B1013-4	BPP44	B1013	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A7F	_U104	BPP46-BKR37/39/41	   B1013-4	400AR/AT 347/600V/3PH/4W	BPP46	B1013-4	BPP201	B1013-4	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A6A	_U103	APP39	A2002	450AR/350AT 120/208V/3PH/4W	AMDP01-CELL04-AMB48	    A1005	MULTIFEEDS SEE LEGEND		DWG. A ELEC SLD	02/18/2011	# CCT:N/A	PREV. ID: (CNE4)	BPP46	B1013-4	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A55	_U97	BPP46-BKR7/9/11	B1013-4	70AR/AT 347/600V/3PH/3W	BPP46	B1013-4	BTR15	B1013-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A40	_U97	BPP46-MAIN BKR	B1013-4	600AR/AT 347/600V/3PH/4W	BMB27	B1041-4	BPP46	B1013-4	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A2B	_U97	BMB27	B1041-4	600AR/500AT 347/600V/3PH/4W	BSDP02	B1041-4	BPP46	B1013-4	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
