EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP
BMB223,B2041-1,150AR/AT120/208V/3PH/4W
BMB221,B2041-1,100AR/AT120/208V/3PH/4W
BTR18,B2041-1,150kVA600V>120/208V3PH/4W
BMB141,B2041-1,175AR/AT347/600V/3PH/4W
BMB148,B2041-1,225AR/AT347/600V/3PH/4W
BMB140,B2041-1,175AR/AT347/600V/3PH/4W
BMB150,B2041-1,400AR/AT347/600V/3PH/4W
BMB69,B2042,150AR/AT120/208V/3PH/4W
BMB66,B2042,150AR/AT120/208V/3PH/4W
BEP05,B2042,150AR120/208V/3PH/4W
BMB73,B2042,150AR/AT120/208V/3PH/4W
BMB72,B2042,150AR/AT120/208V/3PH/4W
BMB71,B2042,200AR/AT120/208V/3PH/4W
BMB68,B2042,150AR/AT120/208V/3PH/4W
BMB67,B2042,150AR/AT120/208V/3PH/4W
BMB65,B2042,150AR/AT120/208V/3PH/4W
BDIS21,B2042,100AR/70AF120/208V/2PH/3W
BMB51,B2042,800AR/AT347/600V/3PH/4W
BSDP12-BKR08,B2042,100AR/AT120/208V/3PH/4W
BSDP12-BKR05,B2042,70AR/AT120/208V/3PH/4W
BSDP12-BKR04,B2042,90AR/AT120/208V/3PH/4W
BSDP12-BKR03,B2042,90AR/AT120/208V/3PH/4W
BMB62,B2042,250AR/AT120/208V/3PH/4W
BSDP12-BKR01,B2042,400AR/AT120/208V/3PH/4W
BMB64,B2042,150AR/AT120/208V/3PH/4W
BTR07,B2042,225kVA600V>120/208V3P/4W
BMB57,B2042,250AR/175AT347/600V/3PH/3W
BTR06,B2042,150kVA600V>120/208V3P/4W
BMB53,B2042,300AR/AT347/600V/3PH/3W
BMB52,B2042,600AR/AT347/600V/3PH/3W
BSDP11-BKR20,B2042,15AR/AT347/600V/3PH/3W
BPP23-BKR02,B2042,50AR/AT120/208V/3PH/4W
BPP23-BKR01,B2042,70AR/AT120/208V/3PH/4W
BTR08,B2042,30kVA600>120/208V/3PH/4W
BDIS22,B2042,100AR/70AT347/600V/3PH/4W
BMB115_LD,B2043,50HP/600V/3PH/4W
BDIS83,B2043,200AR/125AF347/600V/3PH/4W
BDIS82,B2043,200AR/125AF347/600V/3PH/4W
BDIS76,B2043,400AR/AT347/600V/3PH/4W
BMB123,B2043,150AR/AT347/600V/3PH/4W
BMB122,B2043,150AR/AT347/600V/3PH/4W
BMB115,B2043,100AR/AT347/600V/3PH/4W
BMB114,B2043,15AR/AT347/600V/3PH/4W
BMB128,B2043,400AR/AT347/600V/3PH/4W
BPP03,B2043,225AR120/208V/3PH/4W
BMB175,B3001,400AR/AT347/600V/3PH/3W
BPP78,B3001,100AR/50AT120/208V/3PH/4W
BMB204,B3001,50AR/AT120/208V/3PH/4W
BMB203,B3001,50AR/AT120/208V/3PH/4W
BMB200,B3001,150AR/AT120/208V/3PH/4W
BMB197,B3001,100AR/AT120/208V/3PH/4W
BMB196,B3001,125AR/AT120/208V/3PH/4W
BMB195,B3001,150AR/AT120/208V/3PH/4W
BMB194,B3001,125AR/AT120/208V/3PH/4W
BMB193,B3001,125AR/AT120/208V/3PH/4W
BMB192,B3001,125AR/AT120/208V/3PH/4W
BMB191,B3001,125AR/AT120/208V/3PH/4W
BTR22,B3001,45kVA600V>120/208V3P/4W
BMB185,B3001,400AR/AT347/600V/3PH/3W
BMB178,B3001,60AR/AT347/600V/3PH/3W
BEP10,B3001,100AR/AMB120/208V/3PH/4W
BTR21,B3001,225kVA600V>120/208V3P/4W
BMB176,B3001,250AR/AT347/600V/3PH/4W
BPP65-BKR02,B3001,50AR/AT347/600V/3PH/4W
BPP65-BKR01,B3001,70AR/AT120/208V/3PH/4W
BDIS143,B3001,60AR/NF347/600VV/3PH/3W
BTR19,B3001,30kVA600V>120/208V3P/4W
BDIS141,B3001,40AR/AT347/600V/3PH/3W
BDIS142,B3001,40AR/AT347/600V/3PH/3W
BDIS140,B3001,70AR/AT347/600V/3PH/4W
BPP89,B3003-1,70AR/AMB120/208V/3PH/4W
BDIS158,B3003-1,100AR/AF120/208V/3PH/4W
BDIS156,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS155,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS154,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS153,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS152,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS151,B3003-1,225AR/150AT120/208V/3PH/4W
BDIS150,B3003-1,225AR/150AT120/208V/3PH/4W
BTR23,B3003-1,225kVA600V>120/208V3P/4W
BMB209,B3003-1,225AR/AT347/600V/3PH/3W
BMB207,b3003-1,250AR/AT347/600V/3PH/3W
B_BLOCK_TX2,BBLDG,600V3P/4W
B_BLOCK_TX1,BBLDG,600V3P/4W
CDIS10,C1001,30AR/AF/600V/3PH/3W
CPP12,C1004,60AR/AT120/208V/3PH/4W
CPP14,C1004,125AR/70AT120/208V/3PH/4W
CPP13,C1004,100AR/AT120/208V/3PH/4W
CDIS05,C1004,100A120/208V/3PH/4W
CPP10,C1004,100AR/70AT120/208V/3PH/4W
CPP11-CCT28/30/32,C1004,70A120/208V/3PH/4W
CPP09,C1004,225AR/125AT120/208V/3PH/4W
CPP11-CCT13/15/17,C1004,60AR/AT120/208V/3PH/4W
CPP11,C1004,225AR/125AT120/208V/3PH/4W
CBD02-DIS01,C1004,60AR/50AF120/208V/3PH/4W
CPP16,C1004,225AR/150AT120/208V/3PH/4W
CPP15,C1004,225AR/175AT120/208V/3PH/4W
CPP18,C1008,225AR/70AT120/208V/1PH/3W
CPP29,C1011,225AR/50AF120/208V/3PH/4W
CTR12,C1011,15KvA/208D>208Y/3PH/4W
C1020-UPS01-PP01,C1020,55.5A/208V
C1020-UPS01,C1021,20kVA/208V54.2/57.7A
C1020-UPS01,C1021,20kVA/208V54.2/57.7A
C1020-UPS01,C1021,20kVA/208V54.2/57.7A
C1020-UPS01,C1021,20kVA/208V55.5a
C1020-UPS01,C1021,20kVA/208V54.2/57.7A
CEDIS03,C1021,60AR/AF120/208V/3PH/4W
C1020-UPS01,C1021,20kVA/208V54.2/57.7A
CPP08,C1025,60AR/AT120/208V/1PH/3W
CPP07,C1030,100AR/AT120/208V/3PH/4W
CPP05-CCT13/15,C1032,60A-120/208V/1PH/3W
CPP04,C1032,100AR/90AT120/208V/3PH/4W
CPP05,C1032,100AR/70AT120/208V/3PH/4W
CPP06,C1032,100AR/AT120/208V/3PH/4W
CTR04,C1034,15KvA/600>120/208V/3PH/4W
CPP03,C1034,225AR/120/208V/3PH/4W
